----------------------------------------
Sheet: Sepsis Das
----------------------------------------

Pareto Metrics;;Easy;Mid;Hard
# Iterations
;SA Random;1730491,235919;520078,311162;2594306,699806
;PPO Random;89304,462659;1298623,45839;4235563,498915

Best Batch Processing per Task
;Base;564,6030207603137;565,573221603667;512,5550117015301
;Reference;9,772002141789256;37,1274700924294;23,91296023617031
;Reference Random;13,233083519296788;37,1274700924294;23,91296023617031
;Reference Optimos;9,772002141789256;39,983455178726494;30,33753051450392
;SA;133,42545914496623;347,0112147992363;415,33838959316626
;Tabu Search;112,74132465990444;327,5179021495804;480,7146410339766
;PPO;9,772002141789256;39,983455178726494;30,33753051450392
;Tabu Random;58,53823681125386;156,82239752087136;124,36115874965776
;SA Random;65,50097794328397;79,49102978599878;117,77647379024008
;PPO Random;13,233083519296788;37,1274700924294;23,91296023617031

Best WT-Idle per Task
;Base;1342338,2461112111;1313054,7959640436;1295750,4877413607
;Reference;923,5336519201509;58861,385231959;424450,58214122435
;Reference Random;923,5336519201509;58861,385231959;424450,58214122435
;Reference Optimos;33847,51496890911;275385,984663931;1055085,3391753205
;SA;196662,2101875212;805884,7113349659;1076421,8208354914
;Tabu Search;201886,57046255324;747170,3483757925;1083211,480408766
;PPO;33847,51496890911;275385,984663931;1295750,4877413607
;Tabu Random;172558,35482302515;354092,09874957637;461473,88469299127
;SA Random;152807,44952211442;58861,385231959;424450,58214122435
;PPO Random;923,5336519201509;313481,49296357296;1239309,647673379

Avg Batch Processing per Task
;Base;564,6030207603137;565,573221603667;512,5550117015301
;Reference;23,51875273427958;76,99285624367063;76,90109986597072
;Reference Random;26,558656046726224;71,98920219950293;76,90109986597072
;Reference Optimos;15,772638312052043;85,77587873111844;248,43692563831902
;SA;142,18528528032738;430,2173000322162;495,21577977264394
;Tabu Search;128,22499330760496;374,593310039807;501,308508470611
;PPO;15,772638312052043;85,77587873111844;197,80816842738034
;Tabu Random;69,9841830279596;248,52295174232728;141,94559136221437
;SA Random;145,77823798115264;104,58733939813975;153,47756056258882
;PPO Random;26,558656046726224;77,94116179507094;151,10921503999342

Avg WT-Idle per Task
;Base;1342338,2461112111;1313054,7959640436;1295750,4877413607
;Reference;60791,6653798922;437811,1444482565;1838228,2854372628
;Reference Random;26994,879062594628;526017,1676393029;1838228,2854372628
;Reference Optimos;133366,98112740074;488271,08499148046;1770843,856033406
;SA;264848,24652025755;892289,5048483699;1526418,9183813783
;Tabu Search;242699,9623056371;847336,8637297014;1169619,713385053
;PPO;133366,98112740074;488271,08499148046;1908404,3242090987
;Tabu Random;230027,11566326214;646001,1413626309;1838257,9819649477
;SA Random;204770,2224730393;338211,118755285;1227480,3886555405
;PPO Random;26994,879062594628;543236,6917632268;1979051,6656650146

----------------------------------------
Sheet: Gov
----------------------------------------

Pareto Metrics;;Easy;Mid;Hard
# Iterations
;SA;435;435;0
;Tabu Search;106;262;46
;PPO;1999;999;1004
;Tabu Search Random;8;38;11
;Simulated Annealing Random;223;244;207
;PPO Random;2140;0;1123

# Solutions
;Total Unique;13797;16132;1746
;Total Unique Random;1425;747;769
;Total Unique Optimos;12372;15385;977
;SA;10006;10006;1
;Tabu Search;2115;5129;988
;PPO;2001;1001;1005
;Tabu Random;45;135;54
;SA Random;690;770;658
;PPO Random;2141;1;1124

# Invalid Solutions Ratio
;Total;0,21809088932376602;0,04456979915695512;1,163802978235968
;Total Random;0,9628070175438597;0,1753681392235609;1,3328998699609882
;Total Optimos;0,13231490462334303;0,0382190445238869;1,030706243602866
;SA;0,03797721367179692;0,02608434939036578;0,0
;Tabu Search;0,13191489361702127;0,04893741470072139;0,02125506072874494
;PPO;0,5462268865567217;0,22277722277722278;0,9970149253731343
;Tabu Random;0,2;0,25925925925925924;0,18518518518518517
;SA Random;0,4101449275362319;0,42727272727272725;0,3951367781155015
;PPO Random;0,6034563288183092;0,0;0,849644128113879

Pareto Size
;Reference;16;27;7
;Reference Random;9;13;5
;Reference Optimos;25;24;8
;SA;13;14;1
;Tabu Search;16;23;9
;PPO;18;9;3
;Tabu Random;4;9;6
;SA Random;6;13;5
;PPO Random;8;1;3

Hyperarea Ratio
;Reference Random;0,9586082069009169;0,9500542544383198;0,9475111676146253
;Reference Optimos;0,9994499137465448;0,9999808910065394;0,999906927225712
;SA;0,935203631696609;0,9792256068162103;0,753389882081264
;Tabu Search;0,9513629390973323;0,9999684503394369;0,9998799519929507
;PPO;0,9973180228379253;0,979172805515536;0,7995194420695458
;Tabu Random;0,830595201420246;0,9495382513954618;0,8678457676228366
;SA Random;0,8309899256125493;0,9288731643907666;0,9475111676146253
;PPO Random;0,9584453847004198;0,7027691606198994;0,8570809211945353

Hausdorff
;Reference Random;39667,11630448542;352431,64828976116;5806,206980321768
;Reference Optimos;10576,03058070453;352,95699023503045;3998,9171904037366
;SA;152385,25121174922;399357,7408364178;20475,90298937335
;Tabu Search;32656,229912712668;1302,596644068142;3868,0608662359186
;PPO;23490,95545517528;135108,3834836318;19548,22583651492
;Tabu Random;206593,44388820435;455474,06296116085;8808,248528309232
;SA Random;189753,57869511558;477693,56005735573;5806,206980321768
;PPO Random;40487,77474235523;50237,46764703008;17401,128352794593

Delta
;Reference Random;0,9698073257384681;1,3391785597552783;1,1136899823262154
;Reference Optimos;0,8891004635492445;1,0277631484856977;0,84572173763205
;SA;1,2633624911595847;1,1740218161098797;0,0
;Tabu Search;0,906039512720248;1,0195863256242583;0,9054851711165424
;PPO;0,6525826783607579;1,0139834356946182;0,9323076412915188
;Tabu Random;1,2158059645415158;1,1105079209901185;0,5945071583098509
;SA Random;1,2684952309948547;1,271825230201633;1,1136899823262154
;PPO Random;0,9156614688770912;0,0;0,8769442181396394

Purity
;Reference Random;0,375;0,14814814814814814;0,7142857142857143
;Reference Optimos;0,625;0,8518518518518519;0,2857142857142857
;SA;0,375;0,037037037037037035;0,0
;Tabu Search;0,0;0,8148148148148148;0,2857142857142857
;PPO;0,25;0,0;0,0
;Tabu Random;0,0;0,0;0,0
;SA Random;0,0625;0,14814814814814814;0,7142857142857143
;PPO Random;0,3125;0,0;0,0

Avg Cycle Time
;Base;13369643,065242;16047474,916617;15756570,783516
;Reference;20436272,377618626;14173733,85708767;17593722,107082717
;Reference Random;18702461,88284533;22575756,158104844;16897205,275529005
;Reference Optimos;20952414,81737864;13521404,638470463;18387074,730604
;SA;19893274,055400465;28990146,102051497;15180790,22682
;Tabu Search;20151717,823501393;13179858,345279275;18507970,250671
;PPO;22998007,74003833;46578544,00095501;16484211,5527195
;Tabu Random;16411001,366307402;29225441,192628726;18492864,112016
;SA Random;17674867,997260667;22470806,99773585;16897205,275529005
;PPO Random;19708624,2686395;16047474,916617;19719891,99739967

Best Cycle Time
;Base;13369643,065242;16047474,916617;15756570,783516
;Reference;15788366,743829;10521791,540277;14582036,260649
;Reference Random;14811805,420417;15523152,365383;14582036,260649
;Reference Optimos;15788366,743829;10521791,540277;14914682,03118
;SA;15788366,743829;13734908,483569;15180790,22682
;Tabu Search;16655749,354239;10521791,540277;14914682,03118
;PPO;13369643,065242;16357230,910719;15887150,000678
;Tabu Random;13369643,065242;16723485,014487;17763490,077975
;SA Random;14811805,420417;15523152,365383;14582036,260649
;PPO Random;16639415,980639;16047474,916617;15756570,783516

Best Batch Processing per Task
;Base;38198,98503226944;45322,97187752083;34930,99403602056
;Reference;7707,133664024019;7523,85896240543;16308,009194486276
;Reference Random;10819,30391312127;13762,461398152307;20141,5820851551
;Reference Optimos;7707,133664024019;7523,85896240543;16308,009194486276
;SA;12077,991724463445;9974,934664695487;34284,09252335001
;Tabu Search;11317,660840576835;7523,85896240543;16308,009194486276
;PPO;7707,133664024019;10048,077087024527;30929,89338128189
;Tabu Random;20743,837305809655;13762,461398152307;25940,033723017506
;SA Random;20502,115686857145;16524,719063387183;20141,5820851551
;PPO Random;10819,30391312127;45322,97187752083;26730,3582009775

Best WT-Idle per Task
;Base;17980,544046281855;19957,73818332204;18364,817554540474
;Reference;15579,203255985334;15398,060023425427;15362,871554697076
;Reference Random;16326,881788793264;15398,060023425427;15362,871554697076
;Reference Optimos;15579,203255985334;17240,389975216112;16297,803114636903
;SA;15579,203255985334;17706,21501949262;19100,769680551395
;Tabu Search;15744,204654565778;18424,22758753657;17174,66438540786
;PPO;17980,544046281855;19267,268725681173;16297,803114636903
;Tabu Random;20481,117205992567;17099,06675938191;19077,72321211532
;SA Random;16326,881788793264;15398,060023425427;15362,871554697076
;PPO Random;16502,9899672673;19957,73818332204;18364,817554540474

Avg Batch Processing per Task
;Base;38198,98503226944;45322,97187752083;34930,99403602056
;Reference;18738,013240687775;18010,013210058638;24149,749208999896
;Reference Random;19667,048467957866;24387,551982199326;26624,9450732361
;Reference Optimos;18236,49883860464;16348,924232091007;25527,684443957
;SA;22554,623811579713;21382,83837613708;34284,09252335001
;Tabu Search;20066,554900534913;14934,084427312164;25135,148497838385
;PPO;19148,297466681208;23935,847984010525;33064,35932548839
;Tabu Random;28176,402602646944;25376,04771269583;29532,47302705724
;SA Random;24726,64470073796;23674,863346928283;26624,9450732361
;PPO Random;20675,22762919237;45322,97187752083;30744,51216394166

Avg WT-Idle per Task
;Base;17980,544046281855;19957,73818332204;18364,817554540474
;Reference;73104,16046885408;71019,33889309455;39911,38261869531
;Reference Random;31645,014514437567;343275,6413544277;25116,79019648725
;Reference Optimos;78363,76146228675;77764,9162406748;44498,42385497473
;SA;167782,51375761215;519148,08531749755;19100,769680551395
;Tabu Search;51294,33688688217;83245,9720355221;44608,0315138211
;PPO;112616,90853490354;282745,3338160247;17388,298310332262
;Tabu Random;225976,35483699865;647287,687854699;40579,26425419424
;SA Random;188528,53871010113;540658,5611560256;25116,79019648725
;PPO Random;33399,63366795255;19957,73818332204;21044,89421762204

----------------------------------------
Sheet: Production
----------------------------------------

Pareto Metrics;;Easy;Mid;Hard
# Iterations
;SA;510;532;477
;Tabu Search;470;527;348
;PPO;4999;7999;6008
;Tabu Search Random;789;87;39
;Simulated Annealing Random;867;352;273
;PPO Random;5416;7999;9999

# Solutions
;Total Unique;30366;28887;28272
;Total Unique Random;8547;7240;8766
;Total Unique Optimos;21819;21647;19506
;SA;10011;10018;10016
;Tabu Search;10001;10006;6998
;PPO;5001;8001;6009
;Tabu Random;2388;282;138
;SA Random;2636;1077;849
;PPO Random;5417;8001;10001

# Invalid Solutions Ratio
;Total;0,13413027728380425;0,24543912486585662;0,06911431805319751
;Total Random;0,1645021645021645;0,20455801104972376;0,06548026465890942
;Total Optimos;0,12223291626564003;0,25911211715249227;0,07079872859632934
;SA;0,09080011986814504;0,11828708325014974;0,11401757188498403
;Tabu Search;0,16128387161283872;0,21027383569858085;0,060160045727350675
;PPO;0,08518296340731854;0,33258342707161603;0,032950574138791815
;Tabu Random;0,40494137353433834;0,37943262411347517;0,2753623188405797
;SA Random;0,40819423368740515;0,4586815227483751;0,4275618374558304
;PPO Random;0,1319918774229278;0,15923009623797024;0,0453954604539546

Pareto Size
;Reference;80;44;13
;Reference Random;76;41;12
;Reference Optimos;69;44;16
;SA;37;30;12
;Tabu Search;47;44;18
;PPO;50;41;8
;Tabu Random;41;15;8
;SA Random;35;17;8
;PPO Random;45;39;13

Hyperarea Ratio
;Reference Random;0,9592069821121147;0,8599493137237701;0,9986633879234564
;Reference Optimos;0,9914413005977735;1,0;0,9961588545056633
;SA;0,6813960604535544;0,7979551384978208;0,9757152556885876
;Tabu Search;0,9388473604444403;0,8821148124302468;0,9959990225127939
;PPO;0,9412964159246899;0,9440517061687521;0,9771923506204836
;Tabu Random;0,7817198544888408;0,598398572318269;0,9798805541875133
;SA Random;0,7299819404017205;0,6808853241705517;0,9975028302739039
;PPO Random;0,8985865851746974;0,8425580615318135;0,9774724329218599

Hausdorff
;Reference Random;11943,835195481577;57288,55573555996;13093,12083014916
;Reference Optimos;1231,1485034710863;0,0;16105,31933051312
;SA;44380,42306283424;145330,5625245171;32912,95842260993
;Tabu Search;32572,429175076286;96853,23848977135;16542,558592904807
;PPO;3905,484543490785;11508,61714810349;54021,287074434884
;Tabu Random;44322,42286625989;140492,35069864543;35702,53270272885
;SA Random;9194,465825327143;141978,28201932655;13963,674314924996
;PPO Random;19913,545060393044;58921,94257090846;25432,494162075407

Delta
;Reference Random;0,9709025428980458;0,9601318045179122;1,3336593579654143
;Reference Optimos;0,9457046235958053;1,090177453150738;0,9853921344340789
;SA;0,9712253547356277;0,9731671843157252;1,1708942946503567
;Tabu Search;0,8789650366516247;1,0040367065047753;1,061576665350531
;PPO;0,9716236409918723;0,9801998154376209;0,9940443522373891
;Tabu Random;0,9712722992500924;0,9994053821015442;1,0054604465229706
;SA Random;1,2458713494927518;0,9745419726087836;1,1507171060790489
;PPO Random;0,8344540200111895;0,9704052336403344;1,3735125399133468

Purity
;Reference Random;0,525;0,0;0,3076923076923077
;Reference Optimos;0,475;1,0;0,6923076923076923
;SA;0,0375;0,09090909090909091;0,0
;Tabu Search;0,2625;0,6136363636363636;0,5384615384615384
;PPO;0,175;0,29545454545454547;0,15384615384615385
;Tabu Random;0,45;0,0;0,0
;SA Random;0,075;0,0;0,23076923076923078
;PPO Random;0,0;0,0;0,07692307692307693

Avg Cycle Time
;Base;42044521,001165;41035979,096798;41461760,949657
;Reference;42190396,400428995;42625614,34927287;42689935,34185923
;Reference Random;42366701,1768152;42561152,22334513;42480832,51867842
;Reference Optimos;42179962,729622796;42625614,34927287;42651001,35995813
;SA;42295871,85622394;42079724,37150646;42323845,14704918
;Tabu Search;42150131,94390274;42650766,40177811;42692566,3120718
;PPO;42229110,27187835;42672010,762145676;42214365,708095126
;Tabu Random;42198516,53297583;41983662,09740306;41447310,40061233
;SA Random;42334991,61972158;42370681,44077177;42297213,98578231
;PPO Random;42507066,34662218;42483845,260307215;42512857,08617358

Best Cycle Time
;Base;42044521,001165;41035979,096798;41461760,949657
;Reference;40511363,26173;40891617,05185;41496367,120534
;Reference Random;40511363,26173;40924274,212968;41510903,616404
;Reference Optimos;40615200,0;40891617,05185;41496367,120534
;SA;41215377,053331;40649684,841178;40341465,752194
;Tabu Search;40889476,812903;40891617,05185;41222681,499192
;PPO;40297020,434583;40937649,951466;41448152,626689
;Tabu Random;40511363,26173;40649684,841178;40341465,752194
;SA Random;41149958,324874;40957056,092496;40341465,752194
;PPO Random;41098342,911552;40403956,283486;41510903,616404

Best Batch Processing per Task
;Base;3666,9269680821035;3565,1926889737438;3599,3487787794515
;Reference;986,3315776156815;1979,8709504335266;2913,6608839577257
;Reference Random;1026,6552012068805;2395,7158036827263;2913,6608839577257
;Reference Optimos;986,3315776156815;1979,8709504335266;2958,216642534909
;SA;2089,0294692636335;2650,3606081464786;3337,093365665164
;Tabu Search;1274,9992763237453;2425,200452209756;2958,216642534909
;PPO;986,3315776156815;1979,8709504335266;3375,029930894598
;Tabu Random;1817,6505874847073;3017,7472408095264;3229,576867100967
;SA Random;1927,9108363482958;2864,0677250430385;2913,6608839577257
;PPO Random;1026,6552012068805;2395,7158036827263;3352,6277638627125

Best WT-Idle per Task
;Base;20624,113562831113;19569,04478433563;20990,266562083125
;Reference;17468,62437148096;17745,755784994853;17827,805302073666
;Reference Random;17468,62437148096;18420,5692739375;18591,698526015272
;Reference Optimos;19781,436626065963;17745,755784994853;17827,805302073666
;SA;18884,89382391523;18347,81395495442;18735,68839310691
;Tabu Search;18884,89382391523;17745,755784994853;17827,805302073666
;PPO;18884,89382391523;21523,239944689016;18236,2323019476
;Tabu Random;20196,25027328538;19569,04478433563;18695,959835694248
;SA Random;17468,62437148096;18420,5692739375;19407,65813323701
;PPO Random;20624,113562831113;21523,239944689016;18591,698526015272

Avg Batch Processing per Task
;Base;3666,9269680821035;3565,1926889737438;3599,3487787794515
;Reference;2135,835887134247;2762,2534489761388;3312,656388629677
;Reference Random;2086,302957314477;3017,6287204384384;3371,02659219029
;Reference Optimos;2031,0789564566319;2762,2534489761388;3314,727145179917
;SA;2810,618200436092;3252,405234042318;3514,6127251509092
;Tabu Search;2088,0381654326666;2992,619215752794;3315,1884332658565
;PPO;1615,1466140566854;2700,252058917767;3401,6603105912295
;Tabu Random;2621,9134543820323;3331,035764728037;3420,459255840531
;SA Random;2792,2836216635665;3223,744603357724;3370,8470362829553
;PPO Random;1575,9663071359714;2998,439142400728;3472,7131460617306

Avg WT-Idle per Task
;Base;20624,113562831113;19569,04478433563;20990,266562083125
;Reference;111914,05557383166;244845,34830429312;120014,7971396569
;Reference Random;146632,6424823097;134136,05216557445;80544,3244407644
;Reference Optimos;127471,50793547237;244845,34830429312;154481,59644467352
;SA;50467,98037006797;43525,20413703202;69416,39186007058
;Tabu Search;90826,57715671138;115371,0337828176;155298,1737003546
;PPO;182553,05042074347;296188,7120833816;79459,31684085022
;Tabu Random;47008,76427717645;44939,635709605966;146087,70064032762
;SA Random;60580,247437148806;53774,48976367273;109090,36462712062
;PPO Random;230955,33783002463;157817,45323848855;52976,668245041605

----------------------------------------
Sheet: Bpi Challenge 2017
----------------------------------------

Pareto Metrics;;Easy;Mid;Hard
# Iterations
;SA;654;683;697
;Tabu Search;547;598;3
;PPO;9999;9999;6308
;Tabu Search Random;207;58;9
;Simulated Annealing Random;397;316;299
;PPO Random;9999;9104;5498

# Solutions
;Total Unique;29853;32226;16828
;Total Unique Random;7387;7217;4685
;Total Unique Optimos;22466;25009;12143
;SA;10008;10010;10004
;Tabu Search;10010;10017;33
;PPO;10001;10001;6309
;Tabu Random;630;183;36
;SA Random;1200;957;906
;PPO Random;10001;9105;5499

# Invalid Solutions Ratio
;Total;0,3331993434495696;0,15673679637559734;0,1912289042072736
;Total Random;0,5337755516447814;0,2638215324927255;0,17716115261472787
;Total Optimos;0,2673818214190332;0,12591467071854132;0,1967388618957424
;SA;0,14938049560351718;0,08341658341658342;0,2068172730907637
;Tabu Search;0,2775224775224775;0,14235799141459518;0,15151515151515152
;PPO;0,22957704229577042;0,1504849515048495;0,11634173403074972
;Tabu Random;0,4523809523809524;0,4644808743169399;0,3611111111111111
;SA Random;0,5341666666666667;0,5339602925809822;0,5452538631346578
;PPO Random;0,34796520347965204;0,18319604612850082;0,11802145844699036

Pareto Size
;Reference;68;34;22
;Reference Random;46;31;9
;Reference Optimos;59;35;21
;SA;34;26;25
;Tabu Search;39;36;2
;PPO;40;32;16
;Tabu Random;19;11;4
;SA Random;19;21;7
;PPO Random;33;32;12

Hyperarea Ratio
;Reference Random;0,9992352130869873;0,958018674126505;0,9991851163556246
;Reference Optimos;0,9966736420432083;0,9991700541708457;0,9999995453164933
;SA;0,8052058755486288;0,9277056919851628;0,9999993969787611
;Tabu Search;0,9476357413854484;0,9821654525775307;0,9983623135288281
;PPO;0,9955035810373543;0,9896326365177434;0,9978519396479993
;Tabu Random;0,8454600670592107;0,861273218968402;0,9961221226679178
;SA Random;0,8579340537020984;0,9119203623683088;0,999179171547052
;PPO Random;0,9963248506370722;0,9505282374644999;0,9974471534499129

Hausdorff
;Reference Random;79,076515868023;21159,01078359087;7660,719258329895
;Reference Optimos;4916,982768070296;442,86780111643066;1114,5122262252312
;SA;13998,338792606452;3563,0272475923994;764,0804952746585
;Tabu Search;959,607239590337;7012,047184230447;21714,030747429846
;PPO;5836,537550970373;2629,9110887048523;118980,27137986543
;Tabu Random;10561,28221445524;4241,1934354476325;14593,908594676703
;SA Random;2472,962055592777;20629,71769830006;7716,2316713447035
;PPO Random;152,81257181041045;8273,79360883678;24916,06286643703

Delta
;Reference Random;1,0660520538316984;1,326705382430902;1,433423812544418
;Reference Optimos;1,3630392829596683;1,2701021578721023;0,9490352587883841
;SA;1,3028119705443466;1,0325784952829553;1,0606936231711614
;Tabu Search;0,8862052324828427;1,124271083769455;0,9961165588132788
;PPO;1,3358372465890882;1,2869079144597588;0,9597717478759714
;Tabu Random;1,1581087218254542;1,2187676115431973;0,7970934278758984
;SA Random;1,377923857866724;1,0925146558359469;1,3562943774852265
;PPO Random;1,0319571580300904;1,0713118329046092;1,008054882192139

Purity
;Reference Random;0,3088235294117647;0,2647058823529412;0,18181818181818182
;Reference Optimos;0,6911764705882353;0,7352941176470589;0,8181818181818182
;SA;0,29411764705882354;0,20588235294117646;0,6818181818181818
;Tabu Search;0,3382352941176471;0,2647058823529412;0,0
;PPO;0,10294117647058823;0,2647058823529412;0,13636363636363635
;Tabu Random;0,014705882352941176;0,0;0,0
;SA Random;0,058823529411764705;0,0;0,13636363636363635
;PPO Random;0,2647058823529412;0,2647058823529412;0,045454545454545456

Avg Cycle Time
;Base;852467,427838;852710,182789;852702,683287
;Reference;839940,9805750443;990747,7633985294;991046,7713601816
;Reference Random;846410,9273412828;966070,754400774;996937,3441067779
;Reference Optimos;842130,7392725932;988114,1831591427;985012,1432914283
;SA;941847,5461369118;951636,323986857;964062,5371037916
;Tabu Search;861506,8190313159;920061,2310785454;4712685,164110667
;PPO;852272,8344955613;1060722,9821014707;17301316,041833572
;Tabu Random;894732,9896837618;1100928,3399124166;914196,5527989999
;SA Random;868914,85160705;1143350,668752;1044067,3369632857
;PPO Random;844653,5561735292;926197,9524701874;15219855,60012093

Best Cycle Time
;Base;852467,427838;852710,182789;852702,683287
;Reference;696456,307598;840352,05038;837243,096444
;Reference Random;773072,936374;838151,299929;837243,096444
;Reference Optimos;622341,698151;840352,05038;838174,026183
;SA;847721,610471;846218,826975;845162,576693
;Tabu Search;696456,307598;846408,79688;852516,378412
;PPO;622341,698151;825269,431145;838174,026183
;Tabu Random;851317,683616;852455,125155;849882,173225
;SA Random;850046,375933;848571,220839;851497,356839
;PPO Random;773072,936374;833972,698777;837243,096444

Best Batch Processing per Task
;Base;358,5348248521535;365,4043923696083;351,2328984353233
;Reference;26,15486629904733;142,16841760684727;162,47048540710657
;Reference Random;26,15486629904733;157,02180246416233;191,3965678317904
;Reference Optimos;26,791199119776486;142,16841760684727;162,47048540710657
;SA;88,4875122284511;165,44049752378277;162,47048540710657
;Tabu Search;47,18664014756952;149,7067569464712;338,56978721761607
;PPO;26,791199119776486;142,16841760684727;238,49028533757388
;Tabu Random;81,39765497916919;182,01143493030085;300,6807510363631
;SA Random;74,13110216796098;157,02180246416233;191,3965678317904
;PPO Random;26,15486629904733;162,7763802933704;253,50776342526754

Best WT-Idle per Task
;Base;1594,646248885445;1925,310588842197;1815,466870498848
;Reference;1594,646248885445;1552,8339946826486;1546,2954520637315
;Reference Random;1594,646248885445;1567,8958367839944;1578,0826770954188
;Reference Optimos;1720,4168672349165;1552,8339946826486;1546,2954520637315
;SA;1594,646248885445;1552,8339946826486;1546,2954520637315
;Tabu Search;1863,9206343866308;1630,9958310743423;1815,466870498848
;PPO;1594,646248885445;1730,1413821534022;1565,190107115274
;Tabu Random;1841,9447632661145;1733,6789273010656;1896,1346125892856
;SA Random;1666,2752890163024;1687,0471039257777;1669,0993339130364
;PPO Random;1594,646248885445;1567,8958367839944;1578,0826770954188

Avg Batch Processing per Task
;Base;358,5348248521535;365,4043923696083;351,2328984353233
;Reference;131,83425248671386;231,05012821409974;270,2161882435572
;Reference Random;122,74083202792077;238,27684145086448;295,74155000388095
;Reference Optimos;127,00687500552182;236,36786660385198;274,2346789720133
;SA;198,69848204159575;251,64599693351803;281,1462864897817
;Tabu Search;142,71092361917795;258,21128311907864;298,90993061402537
;PPO;108,15222905175261;246,29614507640017;283,0905535188016
;Tabu Random;190,97197126698777;274,24089212311077;316,50752913231605
;SA Random;206,12607650140495;234,52468764140667;283,3287365480438
;PPO Random;97,27299606393278;250,72081867583236;291,969656835573

Avg WT-Idle per Task
;Base;1594,646248885445;1925,310588842197;1815,466870498848
;Reference;4929,562202157067;19451,31937615351;29056,44005157158
;Reference Random;5597,563779367596;23700,27430914275;27218,075359869297
;Reference Optimos;6940,694185808907;18603,16746199557;26826,365846091387
;SA;16497,05966976216;22653,01214177302;23851,40325226125
;Tabu Search;3961,2185962734184;9538,246990953436;40518,46559623187
;PPO;8798,69751727011;19623,363914116548;171932,56718526405
;Tabu Random;15864,5396555862;32169,627158784508;10526,348642294388
;SA Random;4630,340792645446;64134,14715554082;34561,81661991905
;PPO Random;6675,871587138424;10228,408892707897;76806,07977394605

