----------------------------------------
Sheet: Sepsis Das
----------------------------------------

Pareto Metrics;;Easy;Mid;Hard
# Iterations
;SA Random;11772,402165254092;34565,40562070723;60686,6062057201
;PPO Random;32568,242248192357;38356,21168355171;87585,95010889044

Avg Batch Processing per Task
;Base;6834,3062769129665;6689,021007746289;6754,900907226324
;Reference;343,59270551693976;3544,1561195214745;7697,027208010438
;Reference Random;255,5270935609752;2998,6597001577557;5987,756538898066
;Reference Optimos;553,6223185164749;5157,844170381058;7903,451527265766
;SA;3170,6447751184146;5340,592569778091;8165,2123499690615
;Tabu Search;1344,9792377076492;5157,844170381058;8655,471668572953
;PPO;924,9783087694732;7008,969276205321;794,5417354087494
;Tabu Random;1205,1836747641544;5195,0475502451345;7821,849968455611
;SA Random;1260,36491009311;4167,188911005307;1383,8370534261298
;PPO Random;799,2398721426941;3500,368729088568;6754,900907226324

Avg WT-Idle per Task
;Base;63124,91835798518;63713,962598371254;87585,95010889044
;Reference;74141,42491186335;517451,1465348781;52351,500368079556
;Reference Random;78422,1923394805;686631,4631399749;66365,39149761139
;Reference Optimos;67401,63067343328;22083,676381453373;52573,58581435733
;SA;20962,624589486284;33719,728581450196;52553,931130305515
;Tabu Search;9729,95805139379;22083,676381453373;58360,0548972312
;PPO;59918,131649716204;45740,25721067035;72977,68829222363
;Tabu Random;8067,765409904423;37198,83252684235;58322,5354571448
;SA Random;18587,583647281674;603795,8571700165;91419,72239518623
;PPO Random;76181,63517922458;644589,3745429381;87585,95010889044

----------------------------------------
Sheet: Insurance
----------------------------------------

Pareto Metrics;;Easy;Mid;Hard
# Iterations
;SA;674;690;692
;Tabu Search;581;520;256
;PPO;6999;4999;3268
;Tabu Search Random;89;58;3
;Simulated Annealing Random;531;274;235
;PPO Random;5999;1999;6999

# Solutions
;Total Unique;29776;23705;21134
;Total Unique Random;6283;2532;5688
;Total Unique Optimos;23493;21173;15446
;SA;10006;10016;10018
;Tabu Search;10002;7918;3872
;PPO;7001;5001;3269
;Tabu Random;276;183;18
;SA Random;1602;831;714
;PPO Random;6001;2001;7001

# Invalid Solutions Ratio
;Total;0,10008060182697474;0,017759966251845602;0,05133907447714583
;Total Random;0,13512653191150725;0,08846761453396525;0,12517580872011252
;Total Optimos;0,09070787042948963;0,009304302649600906;0,02453709698303768
;SA;0,03308015190885469;0,0371405750798722;0,03843082451587143
;Tabu Search;0,026094781043791242;0,03157362970447083;0,03021694214876033
;PPO;0,29595772032566775;0,03779244151169766;0,11869073111043132
;Tabu Random;0,34782608695652173;0,30601092896174864;0,1111111111111111
;SA Random;0,3801498127340824;0,4681107099879663;0,49719887955182074
;PPO Random;0,09448425262456257;0,030984507746126936;0,08870161405513498

Pareto Size
;Reference;102;35;9
;Reference Random;49;18;11
;Reference Optimos;83;35;9
;SA;35;15;9
;Tabu Search;66;24;9
;PPO;34;19;6
;Tabu Random;20;10;2
;SA Random;42;15;4
;PPO Random;23;15;13

Hyperarea Ratio
;Reference Random;0,9974263579540449;0,9569802616188067;0,9994948766925265
;Reference Optimos;0,8565324761899081;0,9991986411050193;1,0
;SA;0,6254638850949382;0,6674438401368078;0,9999996511163104
;Tabu Search;0,8564682955885464;0,6537652394310146;0,999792048918211
;PPO;0,835894977355399;0,9941402185998451;0,9994193342976971
;Tabu Random;0,7600211566331914;0,7185470249124101;0,998705236113113
;SA Random;0,9970212916650426;0,9550342202898482;0,9991599683812581
;PPO Random;0,7303162634491333;0,8305493583529484;0,9996307683507477

Hausdorff
;Reference Random;820,7247370419816;2021,4835769257306;405,8110164039818
;Reference Optimos;20828,961246817496;300,9089597678386;0,0
;SA;25189,49089710224;8911,255688312816;239,12823932939034
;Tabu Search;20873,406450809423;9904,22152954093;514,9173779636947
;PPO;22266,41509093649;1265,4455126846651;6938,29965312578
